"Perioden","Prijsindex verkoopprijzen Prijsindex bestaande koopwoningen (2015=100)","Ontwikkeling t.o.v. voorgaande periode (%)","Ontwikkeling t.o.v. een jaar eerder (%)","Aantal verkochte woningen Aantal verkochte woningen (aantal)","Ontwikkeling t.o.v. voorgaande periode (%)","Ontwikkeling t.o.v. een jaar eerder (%)","Gemiddelde verkoopprijs (euro)","Totale waarde verkoopprijzen (mlnÂ euro)"
"1995","42,5","","","154.568","","","93.750","14.491"
"2000","80,3","18,2","18,2","189.358","-7,4","-7,4","172.050","32.579"
"2005","106,6","3,9","3,9","206.629","7,7","7,7","222.706","46.017"
"2010","113,0","-2,2","-2,2","126.127","-1,1","-1,1","239.530","30.211"
"2015","100,0","2,8","2,8","178.293","16,1","16,1","230.194","41.042"
"2016","105,0","5,0","5,0","214.793","20,5","20,5","243.837","52.374"
"2017","113,0","7,6","7,6","241.860","12,6","12,6","263.295","63.680"
"2018","123,2","9,0","9,0","218.491","-9,7","-9,7","287.267","62.765"
"2019","131,7","6,9","6,9","218.595","0,0","0,0","307.978","67.322"
"2020","141,9","7,8","7,8","235.511","7,7","7,7","334.488","78.776"
"2021","163,4","15,2","15,2","226.087","-4,0","-4,0","386.714","87.431"
"2022 januari","181,3","3,1","21,1","14.053","-31,6","-42,7","434.886","6.111"
"2022 februari","182,1","0,4","20,2","14.037","-0,1","-16,8","419.361","5.887"
"2022 maart","183,9","1,0","19,5","15.833","12,8","-37,3","426.183","6.748"
"2022 april","185,9","1,1","19,7","15.972","0,9","-15,7","429.020","6.852"
"2022 mei","188,2","1,2","18,8","15.749","-1,4","-2,3","429.077","6.758"
"2022 juni","188,3","0,1","16,6","15.661","-0,6","-11,6","428.932","6.718"
"2022 juli","189,2","0,5","14,5","16.417","4,8","-13,8","445.241","7.310"
"2022 augustus","189,0","-0,1","11,9","16.405","-0,1","-4,9","446.263","7.321"
"2022 september","187,6","-0,7","9,4","17.631","7,5","0,3","437.996","7.722"
"2022 oktober","186,7","-0,5","7,8","14.863","-15,7","-8,2","428.079","6.363"
"2022 november","184,9","-1,0","4,9","15.146","1,9","-5,6","423.124","6.409"
"2022 december","180,6","-2,3","2,7","21.336","40,9","3,8","401.436","8.565"
"2022","185,6","13,6","13,6","193.103","-14,6","-14,6","428.591","82.762"
"2023 januari","183,3","1,5","1,1","13.126","-38,5","-6,6","424.681","5.574"
"2023 februari","180,6","-1,5","-0,8","11.858","-9,7","-15,5","410.189","4.864"
"2023 maart","179,6","-0,5","-2,3","15.453","30,3","-2,4","415.141","6.415"
"2023 1e kwartaal","181,2","-1,6","-0,7","40.437","-21,2","-7,9","416.786","16.854"
"2023 april","177,7","-1,1","-4,4","12.816","-17,1","-19,8","401.374","5.144"
"2023 mei","177,6","-0,1","-5,6","15.099","17,8","-4,1","403.913","6.099"
"2023 juni","178,0","0,2","-5,5","16.585","9,8","5,9","412.943","6.849"
"2023 2e kwartaal","177,8","-1,9","-5,2","44.500","10,0","-6,1","406.547","18.091"
"2023 juli","178,9","0,5","-5,5","14.925","-10,0","-9,1","413.917","6.178"
"2023 augustus","180,0","0,6","-4,8","15.934","6,8","-2,9","416.595","6.638"
"Bron: Centraal Bureau voor de Statistiek, Kadaster"